year,month,average
1958,1,-99.99
1958,2,-99.99
1958,3,315.2216667
1958,4,316.25
1958,5,316.23
1958,6,177.46
1958,7,315.53
1958,8,315.2516667
1958,9,314.3966667
1958,10,175.9566667
1958,11,314.3583333
1958,12,315.0833333
1959,1,315.5766667
1959,2,316.0983333
1959,3,316.1216667
1959,4,316.6883333
1959,5,317.0116667
1959,6,317.0583333
1959,7,316.25
1959,8,315.445
1959,9,315.1066667
1959,10,314.825
1959,11,315.6566667
1959,12,316.0133333
1960,1,316.4733333
1960,2,316.7683333
1960,3,317.08
1960,4,317.9
1960,5,318.5166667
1960,6,318.35
1960,7,317.6633333
1960,8,316.4816667
1960,9,315.6083333
1960,10,315.4133333
1960,11,316.02
1960,12,316.6433333
1961,1,316.995
1961,2,317.455
1961,3,317.9233333
1961,4,318.405
1961,5,319.085
1961,6,318.685
1961,7,318.155
1961,8,317.3216667
1961,9,316.4216667
1961,10,316.6833333
1961,11,317.0516667
1961,12,317.4933333
1962,1,318.0033333
1962,2,318.3333333
1962,3,318.995
1962,4,319.4383333
1962,5,319.67
1962,6,319.5366667
1962,7,319.125
1962,8,317.9916667
1962,9,317.5166667
1962,10,316.9966667
1962,11,317.675
1962,12,318.1716667
1963,1,318.7466667
1963,2,318.8816667
1963,3,319.315
1963,4,320.1733333
1963,5,320.6816667
1963,6,320.295
1963,7,319.3916667
1963,8,318.4166667
1963,9,317.6683333
1963,10,317.5583333
1963,11,318.105
1963,12,318.7916667
1964,1,319.485
1964,2,179.79
1964,3,180.0566667
1964,4,180.4366667
1964,5,320.8633333
1964,6,320.745
1964,7,320.0283333
1964,8,319.2016667
1964,9,318.1583333
1964,10,318.2933333
1964,11,318.655
1964,12,319.16
1965,1,319.52
1965,2,320.0983333
1965,3,320.3033333
1965,4,320.9766667
1965,5,320.9383333
1965,6,320.8833333
1965,7,320.715
1965,8,319.5216667
1965,9,319.1383333
1965,10,318.8566667
1965,11,319.7516667
1965,12,319.97
1966,1,320.6766667
1966,2,321.2633333
1966,3,321.7166667
1966,4,322.4516667
1966,5,322.6533333
1966,6,322.5783333
1966,7,321.94
1966,8,320.945
1966,9,320.1
1966,10,319.7866667
1966,11,320.745
1966,12,321.4033333
1967,1,322.15
1967,2,322.1833333
1967,3,322.4483333
1967,4,323.2066667
1967,5,323.5283333
1967,6,323.055
1967,7,322.29
1967,8,321.555
1967,9,320.75
1967,10,320.89
1967,11,321.615
1967,12,322.275
1968,1,322.57
1968,2,322.8766667
1968,3,323.285
1968,4,323.8916667
1968,5,324.21
1968,6,324.2166667
1968,7,323.685
1968,8,322.7033333
1968,9,321.8383333
1968,10,321.8416667
1968,11,322.4133333
1968,12,323.3116667
1969,1,323.9616667
1969,2,324.1833333
1969,3,324.925
1969,4,325.4783333
1969,5,325.92
1969,6,325.625
1969,7,325.3633333
1969,8,324.255
1969,9,323.7183333
1969,10,323.37
1969,11,323.9233333
1969,12,324.6016667
1970,1,325.12
1970,2,325.66
1970,3,326.2
1970,4,326.8533333
1970,5,326.7533333
1970,6,326.62
1970,7,326.0066667
1970,8,325.26
1970,9,324.505
1970,10,324.5283333
1970,11,324.98
1970,12,325.5483333
1971,1,326.1166667
1971,2,326.3683333
1971,3,326.5916667
1971,4,326.8383333
1971,5,327.5283333
1971,6,327.4283333
1971,7,326.8916667
1971,8,325.9666667
1971,9,324.8966667
1971,10,325.08
1971,11,325.7366667
1971,12,326.3816667
1972,1,326.775
1972,2,327.2766667
1972,3,327.27
1972,4,328.4466667
1972,5,328.6316667
1972,6,328.1466667
1972,7,327.7516667
1972,8,327.0016667
1972,9,326.3633333
1972,10,326.6883333
1972,11,327.4333333
1972,12,328.01
1973,1,328.6033333
1973,2,329.245
1973,3,329.6833333
1973,4,330.3683333
1973,5,330.9916667
1973,6,330.89
1973,7,330.38
1973,8,329.7166667
1973,9,328.83
1973,10,328.6516667
1973,11,329.125
1973,12,329.2566667
1974,1,329.5966667
1974,2,330.405
1974,3,330.8116667
1974,4,331.4233333
1974,5,331.64
1974,6,331.2116667
1974,7,330.7633333
1974,8,329.9283333
1974,9,328.925
1974,10,328.9283333
1974,11,329.48
1974,12,330.0466667
1975,1,330.485
1975,2,331.075
1975,3,331.4116667
1975,4,332.105
1975,5,332.49
1975,6,332.3933333
1975,7,331.54
1975,8,330.6866667
1975,9,330.0066667
1975,10,329.915
1975,11,330.515
1975,12,331.1966667
1976,1,331.7366667
1976,2,332.2033333
1976,3,332.73
1976,4,333.2933333
1976,5,333.4333333
1976,6,333.2183333
1976,7,332.6433333
1976,8,331.6083333
1976,9,330.84
1976,10,330.6583333
1976,11,331.4183333
1976,12,332.185
1977,1,332.9266667
1977,2,333.21
1977,3,334
1977,4,334.79
1977,5,335.2166667
1977,6,335.0733333
1977,7,334.485
1977,8,333.435
1977,9,333.0066667
1977,10,332.7916667
1977,11,333.475
1977,12,334.2883333
1978,1,334.9366667
1978,2,335.1533333
1978,3,335.9116667
1978,4,336.515
1978,5,336.635
1978,6,336.7116667
1978,7,336.0983333
1978,8,335.2383333
1978,9,334.2816667
1978,10,334.1966667
1978,11,334.9483333
1978,12,335.47
1979,1,336.2133333
1979,2,336.5
1979,3,337.2183333
1979,4,337.69
1979,5,338.0366667
1979,6,338.0783333
1979,7,337.3383333
1979,8,336.6366667
1979,9,335.53
1979,10,335.5683333
1979,11,336.3766667
1979,12,337.1883333
1980,1,337.9566667
1980,2,338.1383333
1980,3,339.21
1980,4,339.5416667
1980,5,339.975
1980,6,339.945
1980,7,339.17
1980,8,338.2566667
1980,9,337.4433333
1980,10,337.595
1980,11,338.155
1980,12,338.7333333
1981,1,339.3066667
1981,2,340.0616667
1981,3,340.5716667
1981,4,341.1666667
1981,5,341.3733333
1981,6,341.0783333
1981,7,340.1883333
1981,8,339.195
1981,9,338.3633333
1981,10,338.5333333
1981,11,339.375
1981,12,340.045
1982,1,340.7
1982,2,341.2016667
1982,3,341.8366667
1982,4,342.26
1982,5,342.5783333
1982,6,342.1933333
1982,7,341.6166667
1982,8,340.4916667
1982,9,339.5983333
1982,10,339.575
1982,11,340.3466667
1982,12,341.0083333
1983,1,341.5066667
1983,2,342.2216667
1983,3,342.5416667
1983,4,343.6466667
1983,5,344.1633333
1983,6,344.0533333
1983,7,343.48
1983,8,342.8216667
1983,9,341.495
1983,10,341.6533333
1983,11,342.2766667
1983,12,343.3483333
1984,1,343.7183333
1984,2,344.1916667
1984,3,344.6266667
1984,4,345.6683333
1984,5,345.8683333
1984,6,345.6116667
1984,7,344.97
1984,8,343.9533333
1984,9,342.8166667
1984,10,343.0633333
1984,11,343.9966667
1984,12,344.665
1985,1,345.0616667
1985,2,345.68
1985,3,346.5516667
1985,4,347.0216667
1985,5,347.3533333
1985,6,347.0566667
1985,7,346.2183333
1985,8,345.3466667
1985,9,344.6183333
1985,10,344.4766667
1985,11,345.2666667
1985,12,345.975
1986,1,346.3533333
1986,2,346.7166667
1986,3,347.2333333
1986,4,348.2183333
1986,5,348.6116667
1986,6,348.3283333
1986,7,347.5583333
1986,8,346.595
1986,9,346.2383333
1986,10,345.8516667
1986,11,346.6883333
1986,12,347.3533333
1987,1,348.005
1987,2,348.2516667
1987,3,348.8033333
1987,4,349.725
1987,5,350.27
1987,6,350.065
1987,7,349.2283333
1987,8,348.715
1987,9,347.9916667
1987,10,348.0333333
1987,11,348.87
1987,12,349.51
1988,1,350.4166667
1988,2,351.25
1988,3,351.5166667
1988,4,352.3066667
1988,5,352.705
1988,6,352.6066667
1988,7,351.9866667
1988,8,351.0966667
1988,9,350.315
1988,10,350.4866667
1988,11,351.115
1988,12,351.8
1989,1,352.635
1989,2,352.7683333
1989,3,353.0833333
1989,4,354.0883333
1989,5,354.1916667
1989,6,353.9816667
1989,7,353.4616667
1989,8,352.3666667
1989,9,351.4583333
1989,10,351.64
1989,11,352.3416667
1989,12,352.9883333
1990,1,353.6333333
1990,2,354.2483333
1990,3,354.6116667
1990,4,355
1990,5,355.58
1990,6,355.12
1990,7,354.48
1990,8,353.6133333
1990,9,352.6683333
1990,10,352.8866667
1990,11,353.835
1990,12,354.5983333
1991,1,354.84
1991,2,355.4583333
1991,3,356.3183333
1991,4,357.1233333
1991,5,357.5533333
1991,6,356.97
1991,7,355.8766667
1991,8,354.82
1991,9,353.9016667
1991,10,353.985
1991,11,354.83
1991,12,355.4716667
1992,1,356.0116667
1992,2,356.415
1992,3,357.0333333
1992,4,357.755
1992,5,358.0216667
1992,6,357.8916667
1992,7,356.685
1992,8,355.71
1992,9,354.695
1992,10,354.9283333
1992,11,355.3066667
1992,12,355.9383333
1993,1,356.6733333
1993,2,356.89
1993,3,357.5983333
1993,4,358.1483333
1993,5,358.6283333
1993,6,358.3266667
1993,7,357.2733333
1993,8,356.31
1993,9,355.44
1993,10,355.7116667
1993,11,356.4516667
1993,12,357.2733333
1994,1,358.225
1994,2,358.53
1994,3,359.1633333
1994,4,359.8866667
1994,5,360.1266667
1994,6,359.8116667
1994,7,359.205
1994,8,358.2466667
1994,9,357.5233333
1994,10,357.7133333
1994,11,358.6233333
1994,12,359.4433333
1995,1,359.9733333
1995,2,360.6116667
1995,3,360.965
1995,4,362.0366667
1995,5,362.225
1995,6,362.0466667
1995,7,361.455
1995,8,360.2483333
1995,9,359.6783333
1995,10,359.5616667
1995,11,360.6083333
1995,12,361.2116667
1996,1,362.01
1996,2,362.7433333
1996,3,363.1733333
1996,4,363.4833333
1996,5,363.8966667
1996,6,363.7666667
1996,7,363.19
1996,8,362.14
1996,9,361.1233333
1996,10,361.28
1996,11,361.865
1996,12,362.7266667
1997,1,363.17
1997,2,363.6266667
1997,3,363.905
1997,4,364.94
1997,5,365.18
1997,6,364.5683333
1997,7,364.115
1997,8,363.23
1997,9,362.07
1997,10,362.555
1997,11,363.5366667
1997,12,364.6383333
1998,1,365.2766667
1998,2,365.805
1998,3,366.5366667
1998,4,367.295
1998,5,367.75
1998,6,367.68
1998,7,367.2083333
1998,8,366.4133333
1998,9,365.5483333
1998,10,365.86
1998,11,366.5283333
1998,12,367.375
1999,1,368.05
1999,2,368.455
1999,3,368.8366667
1999,4,369.6966667
1999,5,369.5316667
1999,6,369.2483333
1999,7,368.82
1999,8,367.6516667
1999,9,366.4666667
1999,10,366.8466667
1999,11,367.695
1999,12,368.3966667
2000,1,369.03
2000,2,369.1616667
2000,3,369.7633333
2000,4,370.3683333
2000,5,370.4266667
2000,6,370.51
2000,7,369.7783333
2000,8,368.8683333
2000,9,368.23
2000,10,368.3766667
2000,11,369.25
2000,12,369.9066667
2001,1,370.2983333
2001,2,371.035
2001,3,371.355
2001,4,371.6916667
2001,5,372.4066667
2001,6,372.1016667
2001,7,371.2933333
2001,8,370.3333333
2001,9,369.6416667
2001,10,369.8133333
2001,11,370.715
2001,12,371.5933333
2002,1,372.2933333
2002,2,372.665
2002,3,372.88
2002,4,373.635
2002,5,374.0633333
2002,6,374.1633333
2002,7,373.5866667
2002,8,372.3483333
2002,9,372.2216667
2002,10,372.0216667
2002,11,373.1083333
2002,12,374.1016667
2003,1,374.62
2003,2,375.2066667
2003,3,375.4683333
2003,4,376.3633333
2003,5,376.8033333
2003,6,376.85
2003,7,376.175
2003,8,375.1983333
2003,9,374.575
2003,10,374.67
2003,11,375.41
2003,12,376.1383333
2004,1,376.7633333
2004,2,377.0733333
2004,3,377.6633333
2004,4,378.9083333
2004,5,378.9266667
2004,6,378.39
2004,7,377.5166667
2004,8,376.6533333
2004,9,375.8266667
2004,10,376.0216667
2004,11,376.9483333
2004,12,377.865
2005,1,378.3733333
2005,2,379.1783333
2005,3,379.4216667
2005,4,380.6116667
2005,5,380.71
2005,6,380.8066667
2005,7,380.2133333
2005,8,379.33
2005,9,378.2233333
2005,10,378.57
2005,11,379.4266667
2005,12,380.3733333
2006,1,381.2166667
2006,2,381.5916667
2006,3,381.8716667
2006,4,382.9233333
2006,5,383.245
2006,6,382.8266667
2006,7,381.9866667
2006,8,381.2133333
2006,9,380.475
2006,10,380.7166667
2006,11,381.2716667
2006,12,382.115
2007,1,382.6266667
2007,2,383.3116667
2007,3,383.6483333
2007,4,384.7583333
2007,5,384.835
2007,6,384.6583333
2007,7,384.04
2007,8,382.735
2007,9,382.4616667
2007,10,382.5416667
2007,11,383.3733333
2007,12,384.0433333
2008,1,384.9066667
2008,2,385.3516667
2008,3,385.255
2008,4,385.7266667
2008,5,386.85
2008,6,386.73
2008,7,385.8683333
2008,8,384.86
2008,9,384.575
2008,10,384.445
2008,11,385.1033333
2008,12,385.67
2009,1,386.59
2009,2,386.8383333
2009,3,387.6816667
2009,4,388.235
2009,5,388.5883333
2009,6,388.4183333
2009,7,387.725
2009,8,386.85
2009,9,386.2916667
2009,10,386.175
2009,11,387.1816667
2009,12,387.995
2010,1,388.62
2010,2,389.5933333
2010,3,390.1533333
2010,4,390.9266667
2010,5,391.4516667
2010,6,390.9916667
2010,7,390.0583333
2010,8,389.2933333
2010,9,388.5533333
2010,10,388.8466667
2010,11,389.6816667
2010,12,390.2683333
2011,1,391.1466667
2011,2,391.485
2011,3,391.7466667
2011,4,392.195
2011,5,392.75
2011,6,392.545
2011,7,392.1516667
2011,8,391.005
2011,9,390.585
2011,10,390.6283333
2011,11,391.3433333
2011,12,392.2216667
2012,1,392.97
2012,2,393.1
2012,3,393.695
2012,4,394.935
2012,5,395.2
2012,6,394.7483333
2012,7,394.2033333
2012,8,393.3433333
2012,9,392.81
2012,10,392.835
2012,11,393.9933333
2012,12,394.7716667
2013,1,395.5366667
2013,2,396.3233333
2013,3,396.5283333
2013,4,397.12
2013,5,398.1733333
2013,6,397.6333333
2013,7,396.98
2013,8,396.1266667
2013,9,395.175
2013,10,395.4633333
2013,11,396.3
2013,12,397.22
2014,1,397.8566667
2014,2,397.91
2014,3,398.7383333
2014,4,399.825
2014,5,400.145
2014,6,399.9483333
2014,7,398.795
2014,8,397.9966667
2014,9,397.1783333
2014,10,397.4266667
2014,11,398.3133333
2014,12,399.1933333
2015,1,399.7983333
2015,2,400.0483333
2015,3,400.7766667
2015,4,401.93
2015,5,402.3333333
2015,6,401.73
2015,7,401.2533333
2015,8,399.9933333
2015,9,399.4233333
2015,10,400.0733333
2015,11,401.2666667
2015,12,402.25
2016,1,402.7
2016,2,403.6916667
2016,3,404.105
2016,4,405.8016667
2016,5,405.8483333
2016,6,405.6266667
2016,7,404.3216667
2016,8,403.2783333
2016,9,402.8633333
2016,10,403.2833333
2016,11,404.5583333
2016,12,405.0066667
2017,1,405.9216667
2017,2,406.2433333
2017,3,406.44
2017,4,407.5466667
2017,5,408.1433333
2017,6,407.8033333
2017,7,237.89
2017,8,-99.99
2017,9,-99.99
2017,10,-99.99
2017,11,-99.99
2017,12,-99.99